,year_film,year_ceremony,ceremony,film,winner,original_language,original_title,release_date,vote_average,genre,rating,duration,era
97,1939,1940,12,Stagecoach,False,en,Stagecoach,1939-03-03,7.651,"['Western', 'Adventure']",7.8,96.0,Golden Era
98,1939,1940,12,The Wizard of Oz,False,en,The Wizard of Oz,1939-08-15,7.577,"['Adventure', 'Fantasy', 'Family']",8.1,102.0,Golden Era
99,1939,1940,12,Wuthering Heights,False,en,Wuthering Heights,1939-04-07,7.2,"['Drama', 'Romance']",7.5,104.0,Golden Era
100,1940,1941,13,"All This, and Heaven Too",False,en,"All This, and Heaven Too",1940-07-05,7.311,"['Drama', 'Romance']",7.4,141.0,Golden Era
101,1940,1941,13,Foreign Correspondent,False,en,Foreign Correspondent,1940-08-16,6.965,"['Thriller', 'Mystery', 'Action']",7.4,120.0,Golden Era
102,1940,1941,13,The Grapes of Wrath,False,en,The Grapes of Wrath,1940-03-15,7.823,['Drama'],8.1,129.0,Golden Era
103,1940,1941,13,The Great Dictator,False,en,The Great Dictator,1940-10-15,8.335,"['Comedy', 'War']",8.4,125.0,Golden Era
104,1940,1941,13,Kitty Foyle,False,en,Kitty Foyle,1940-12-27,6.632,"['Drama', 'Romance']",6.9,108.0,Golden Era
105,1940,1941,13,The Letter,False,en,The Letter,1940-11-21,7.285,"['Crime', 'Drama']",7.5,95.0,Golden Era
106,1940,1941,13,The Long Voyage Home,False,en,The Long Voyage Home,1940-11-16,6.486,"['Drama', 'War']",6.9,105.0,Golden Era
107,1940,1941,13,Our Town,False,en,Our Town,1940-05-24,5.8,"['Drama', 'Romance']",6.5,90.0,Golden Era
108,1940,1941,13,The Philadelphia Story,False,en,The Philadelphia Story,1940-12-05,7.6,"['Comedy', 'Romance']",7.9,112.0,Golden Era
109,1940,1941,13,Rebecca,True,en,Rebecca,1940-03-23,7.9,"['Mystery', 'Romance', 'Thriller', 'Drama']",8.1,130.0,Golden Era
110,1941,1942,14,Blossoms in the Dust,False,en,Blossoms in the Dust,1941-08-15,6.5,"['Drama', 'Romance']",6.9,99.0,Golden Era
111,1941,1942,14,Citizen Kane,False,en,Citizen Kane,1941-04-17,8.009,"['Mystery', 'Drama']",8.3,119.0,Golden Era
112,1941,1942,14,Here Comes Mr. Jordan,False,en,Here Comes Mr. Jordan,1941-08-07,7.006,"['Comedy', 'Fantasy', 'Romance']",7.6,94.0,Golden Era
113,1941,1942,14,Hold Back the Dawn,False,en,Hold Back the Dawn,1941-09-26,6.539,"['Drama', 'Romance']",7.3,116.0,Golden Era
114,1941,1942,14,How Green Was My Valley,True,en,How Green Was My Valley,1941-10-28,7.236,['Drama'],7.7,118.0,Golden Era
115,1941,1942,14,The Little Foxes,False,en,The Little Foxes,1941-08-29,7.471,"['Drama', 'Romance', 'History']",7.9,116.0,Golden Era
116,1941,1942,14,The Maltese Falcon,False,en,The Maltese Falcon,1941-10-18,7.719,"['Mystery', 'Crime', 'Thriller']",8.0,100.0,Golden Era
117,1941,1942,14,One Foot in Heaven,False,en,One Foot in Heaven,1941-11-01,6.559,"['Drama', 'Romance']",6.7,108.0,Golden Era
118,1941,1942,14,Sergeant York,False,en,Sergeant York,1941-09-27,7.202,"['History', 'War', 'Drama']",7.7,134.0,Golden Era
119,1941,1942,14,Suspicion,False,en,Suspicion,1941-11-14,7.105,"['Mystery', 'Romance', 'Thriller']",7.3,99.0,Golden Era
120,1942,1943,15,49th Parallel,False,en,49th Parallel,1941-11-24,6.912,"['Thriller', 'War', 'Drama']",7.3,123.0,Golden Era
121,1942,1943,15,Kings Row,False,en,Kings Row,1942-02-02,7.103,"['Romance', 'Drama', 'Mystery']",7.5,127.0,Golden Era
122,1942,1943,15,The Magnificent Ambersons,False,en,The Magnificent Ambersons,1942-07-10,7.3,"['Drama', 'Romance', 'History']",7.6,88.0,Golden Era
123,1942,1943,15,Mrs. Miniver,True,en,Mrs. Miniver,1942-07-03,7.054,"['Drama', 'Romance', 'War']",7.6,134.0,Golden Era
124,1942,1943,15,The Pied Piper,False,en,The Pied Piper,1942-08-21,6.8,"['Drama', 'War']",7.0,87.0,Golden Era
125,1942,1943,15,The Pride of the Yankees,False,en,The Pride of the Yankees,1942-07-14,7.335,"['Drama', 'Family']",7.6,128.0,Golden Era
126,1942,1943,15,Random Harvest,False,en,Random Harvest,1942-12-17,7.236,"['Romance', 'Drama']",7.9,126.0,Golden Era
127,1942,1943,15,The Talk of the Town,False,en,The Talk of the Town,1942-08-20,7.213,"['Comedy', 'Drama', 'Romance']",7.5,118.0,Golden Era
128,1942,1943,15,Wake Island,False,en,Wake Island,1942-08-11,5.7,"['Action', 'Drama', 'War']",6.6,88.0,Golden Era
129,1942,1943,15,Yankee Doodle Dandy,False,en,Yankee Doodle Dandy,1942-05-29,7.041,"['Drama', 'Music']",7.6,126.0,Golden Era
130,1943,1944,16,Casablanca,True,en,Casablanca,1943-01-15,8.169,"['Drama', 'Romance']",8.5,102.0,Golden Era
131,1943,1944,16,For Whom the Bell Tolls,False,en,For Whom the Bell Tolls,1943-07-12,6.552,"['War', 'Romance', 'History', 'Drama', 'Adventure']",6.8,170.0,Golden Era
132,1943,1944,16,Heaven Can Wait,False,en,Heaven Can Wait,1943-08-05,6.872,"['Fantasy', 'Drama', 'Comedy', 'Romance']",7.4,112.0,Golden Era
133,1943,1944,16,The Human Comedy,False,en,The Human Comedy,1943-03-02,6.375,"['Comedy', 'Drama', 'Family']",7.0,117.0,Golden Era
134,1943,1944,16,In Which We Serve,False,en,In Which We Serve,1942-09-17,6.838,"['Drama', 'War']",7.2,115.0,Golden Era
135,1943,1944,16,Madame Curie,False,en,Madame Curie,1943-12-16,7.243,"['Drama', 'Romance', 'History']",7.2,124.0,Golden Era
136,1943,1944,16,The More the Merrier,False,en,The More the Merrier,1943-05-13,6.875,"['Comedy', 'Romance', 'War']",7.6,104.0,Golden Era
137,1943,1944,16,The Ox-Bow Incident,False,en,The Ox-Bow Incident,1943-03-11,7.7,"['Western', 'Drama']",8.0,75.0,Golden Era
138,1943,1944,16,The Song of Bernadette,False,en,The Song of Bernadette,1943-12-21,6.995,['Drama'],7.6,156.0,Golden Era
139,1943,1944,16,Watch on the Rhine,False,en,Watch on the Rhine,1943-08-27,6.794,"['Drama', 'Thriller']",7.1,114.0,Golden Era
140,1944,1945,17,Double Indemnity,False,en,Double Indemnity,1944-07-06,8.117,"['Crime', 'Thriller']",8.3,107.0,Golden Era
141,1944,1945,17,Gaslight,False,en,Gaslight,1944-05-04,7.5,"['Thriller', 'Drama', 'Mystery', 'Crime']",7.8,114.0,Golden Era
142,1944,1945,17,Going My Way,True,en,Going My Way,1944-05-15,6.76,"['Comedy', 'Drama', 'Music']",7.0,126.0,Golden Era
143,1944,1945,17,Since You Went Away,False,en,Since You Went Away,1944-06-30,6.419,"['Drama', 'Romance', 'War']",7.5,177.0,Golden Era
144,1944,1945,17,Wilson,False,en,Wilson,1944-08-01,5.7,"['Drama', 'History', 'Music', 'Romance', 'Comedy']",6.4,154.0,Golden Era
145,1945,1946,18,Anchors Aweigh,False,en,Anchors Aweigh,1945-08-13,6.759,"['Comedy', 'Fantasy', 'Music', 'Romance', 'War']",7.0,140.0,Golden Era
146,1945,1946,18,The Bells of St. Mary's,False,en,The Bells of St. Mary's,1945-12-27,6.872,"['Comedy', 'Drama']",7.2,126.0,Golden Era
147,1945,1946,18,The Lost Weekend,True,en,The Lost Weekend,1945-11-29,7.643,['Drama'],7.9,101.0,Golden Era
148,1945,1946,18,Mildred Pierce,False,en,Mildred Pierce,1945-10-20,7.604,"['Crime', 'Drama']",7.9,111.0,Golden Era
149,1945,1946,18,Spellbound,False,en,Spellbound,1945-11-08,7.423,"['Thriller', 'Mystery', 'Romance', 'Drama']",7.5,111.0,Golden Era
150,1946,1947,19,The Best Years of Our Lives,True,en,The Best Years of Our Lives,1946-12-25,7.8,"['Drama', 'Romance', 'War']",8.1,170.0,Golden Era
151,1946,1947,19,Henry V,False,en,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,1944-11-24,6.604,"['Drama', 'History', 'War']",7.0,137.0,Golden Era
152,1946,1947,19,It's a Wonderful Life,False,en,It's a Wonderful Life,1946-12-20,8.266,"['Drama', 'Family', 'Fantasy']",8.6,130.0,Golden Era
153,1946,1947,19,The Razor's Edge,False,en,The Razor's Edge,1946-11-19,6.779,"['Drama', 'Romance', 'Adventure']",7.3,145.0,Golden Era
154,1946,1947,19,The Yearling,False,en,The Yearling,1946-12-18,6.5,"['Drama', 'Family', 'Western']",7.2,128.0,Golden Era
155,1947,1948,20,The Bishop's Wife,False,en,The Bishop's Wife,1947-12-25,7.1,"['Comedy', 'Drama', 'Fantasy', 'Romance']",7.6,109.0,Golden Era
156,1947,1948,20,Crossfire,False,en,Crossfire,1947-08-15,6.543,"['Crime', 'Drama', 'Mystery', 'Thriller']",7.3,86.0,Golden Era
157,1947,1948,20,Gentleman's Agreement,True,en,Gentleman's Agreement,1947-11-11,6.968,"['Drama', 'Romance']",7.2,118.0,Golden Era
158,1947,1948,20,Great Expectations,False,en,Great Expectations,1946-12-26,7.23,"['Romance', 'Drama', 'History']",7.8,118.0,Golden Era
159,1947,1948,20,Miracle on 34th Street,False,en,Miracle on 34th Street,1947-06-04,7.35,"['Comedy', 'Drama', 'Family']",7.9,96.0,Golden Era
160,1948,1949,21,Hamlet,True,en,Hamlet,1948-12-10,7.441,['Drama'],7.6,154.0,Golden Era
161,1948,1949,21,Johnny Belinda,False,en,Johnny Belinda,1948-09-14,6.895,['Drama'],7.7,102.0,Golden Era
162,1948,1949,21,The Red Shoes,False,en,The Red Shoes,1948-09-06,7.966,"['Drama', 'Romance']",8.1,135.0,Golden Era
163,1948,1949,21,The Snake Pit,False,en,The Snake Pit,1948-11-04,7.148,"['Drama', 'Mystery']",7.6,108.0,Golden Era
164,1948,1949,21,The Treasure of the Sierra Madre,False,en,The Treasure of the Sierra Madre,1948-01-15,8.0,"['Adventure', 'Drama', 'Western']",8.2,126.0,Golden Era
165,1949,1950,22,All the King's Men,True,en,All the King's Men,1949-11-16,6.946,['Drama'],7.4,110.0,Golden Era
166,1949,1950,22,Battleground,False,en,Battleground,1949-11-09,6.673,"['Action', 'Adventure', 'Drama', 'War']",7.4,118.0,Golden Era
167,1949,1950,22,The Heiress,False,en,The Heiress,1949-10-06,7.696,"['Drama', 'Romance', 'History']",8.1,115.0,Golden Era
168,1949,1950,22,A Letter to Three Wives,False,en,A Letter to Three Wives,1949-01-20,7.188,"['Drama', 'Romance', 'Mystery']",7.7,103.0,Golden Era
169,1949,1950,22,Twelve O'Clock High,False,en,Twelve O'Clock High,1949-12-21,7.095,"['War', 'Action', 'Drama']",7.7,132.0,Golden Era
170,1950,1951,23,All about Eve,True,en,All About Eve,1950-11-09,8.116,['Drama'],8.2,138.0,Golden Era
171,1950,1951,23,Born Yesterday,False,en,Born Yesterday,1950-12-25,7.164,"['Comedy', 'Drama', 'Romance']",7.5,103.0,Golden Era
172,1950,1951,23,Father of the Bride,False,en,Father of the Bride,1950-05-18,6.963,"['Comedy', 'Drama', 'Family', 'Romance']",7.1,92.0,Golden Era
