,year_film,year_ceremony,ceremony,name,film,winner
3679,1960,1961,33,"John Wayne, Producer",The Alamo,False
3680,1960,1961,33,"Billy Wilder, Producer",The Apartment,True
3681,1960,1961,33,"Bernard Smith, Producer",Elmer Gantry,False
3682,1960,1961,33,"Jerry Wald, Producer",Sons and Lovers,False
3683,1960,1961,33,"Fred Zinnemann, Producer",The Sundowners,False
3801,1961,1962,34,"Joshua Logan, Producer",Fanny,False
3802,1961,1962,34,"Carl Foreman, Producer",The Guns of Navarone,False
3803,1961,1962,34,"Robert Rossen, Producer",The Hustler,False
3804,1961,1962,34,"Stanley Kramer, Producer",Judgment at Nuremberg,False
3805,1961,1962,34,"Robert Wise, Producer",West Side Story,True
3923,1962,1963,35,"Sam Spiegel, Producer",Lawrence of Arabia,True
3924,1962,1963,35,"Darryl F. Zanuck, Producer",The Longest Day,False
3925,1962,1963,35,"Morton Da Costa, Producer",Meredith Willson's The Music Man,False
3926,1962,1963,35,"Aaron Rosenberg, Producer",Mutiny on the Bounty,False
3927,1962,1963,35,"Alan J. Pakula, Producer",To Kill a Mockingbird,False
4045,1963,1964,36,"Elia Kazan, Producer",America America,False
4046,1963,1964,36,"Walter Wanger, Producer",Cleopatra,False
4047,1963,1964,36,"Bernard Smith, Producer",How the West Was Won,False
4048,1963,1964,36,"Ralph Nelson, Producer",Lilies of the Field,False
4049,1963,1964,36,"Tony Richardson, Producer",Tom Jones,True
4170,1964,1965,37,"Hal B. Wallis, Producer",Becket,False
4171,1964,1965,37,"Stanley Kubrick, Producer",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False
4172,1964,1965,37,"Walt Disney and Bill Walsh, Producers",Mary Poppins,False
4173,1964,1965,37,"Jack L. Warner, Producer",My Fair Lady,True
4174,1964,1965,37,"Michael Cacoyannis, Producer",Zorba the Greek,False
4292,1965,1966,38,"Joseph Janni, Producer",Darling,False
4293,1965,1966,38,"Carlo Ponti, Producer",Doctor Zhivago,False
4294,1965,1966,38,"Stanley Kramer, Producer",Ship of Fools,False
4295,1965,1966,38,"Robert Wise, Producer",The Sound of Music,True
4296,1965,1966,38,"Fred Coe, Producer",A Thousand Clowns,False
4417,1966,1967,39,"Lewis Gilbert, Producer",Alfie,False
4418,1966,1967,39,"Fred Zinnemann, Producer",A Man for All Seasons,True
4419,1966,1967,39,"Norman Jewison, Producer",The Russians Are Coming The Russians Are Coming,False
4420,1966,1967,39,"Robert Wise, Producer",The Sand Pebbles,False
4421,1966,1967,39,"Ernest Lehman, Producer",Who's Afraid of Virginia Woolf?,False
4526,1967,1968,40,"Warren Beatty, Producer",Bonnie and Clyde,False
4527,1967,1968,40,"Arthur P. Jacobs, Producer",Doctor Dolittle,False
4528,1967,1968,40,"Lawrence Turman, Producer",The Graduate,False
4529,1967,1968,40,"Stanley Kramer, Producer",Guess Who's Coming to Dinner,False
4530,1967,1968,40,"Walter Mirisch, Producer",In the Heat of the Night,True
